player_id,player_name,team,position,current_start_prob,current_conditional_start_prob,current_appearance_prob,current_availability_risk,before_start_prob,before_conditional_start_prob,before_appearance_prob,before_availability_risk,recent_starts,recent_sub_appearances,recent_unused_bench,recent_absences,injury_absences,competitive_match_starts,friendly_match_starts,post_qualification_rotation_matches,round_specific_rotation_risk,suspected_issue,recommended_action,source_note
houssem_aouar__alg,Houssem Aouar,ALG,MID,0.6789,0.7895,,high_risk,0.6789,0.7895,,high_risk,,,,26,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ibrahim_maza__alg,Ibrahim Maza,ALG,MID,0.7371,0.8571,,high_risk,0.7371,0.8571,,high_risk,,,,14,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
isma_l_bennacer__alg,Ismael Bennacer,ALG,MID,0.7025,0.8169,,high_risk,0.7025,0.8169,,high_risk,,,,61,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mohamed_amoura__alg,Mohamed Amoura,ALG,FWD,0.72,0.8372,,high_risk,0.72,0.8372,,high_risk,,,,30,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ramiz_zerrouki__alg,Ramiz Zerrouki,ALG,MID,0.7823,0.902,,high_risk,0.7823,0.902,,high_risk,,,,32,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
rayan_a_t_nouri__alg,Rayan Ait-Nouri,ALG,DEF,0.775,0.9,,high_risk,0.775,0.9,,high_risk,,,,21,,5.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
riyad_mahrez__alg,Riyad Mahrez,ALG,FWD,0.858,0.9487,,medium_risk,0.858,0.9487,,medium_risk,,,,43,,4.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
youcef_atal__alg,Youcef Atal,ALG,DEF,0.7066,0.8158,,high_risk,0.7066,0.8158,,high_risk,,,,48,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
cristian_romero__arg,Cristian Romero,ARG,DEF,0.8499,0.9259,,medium_risk,0.8499,0.9259,,medium_risk,,,,15,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
emiliano_mart_nez__arg,Emiliano Martinez,ARG,GK,0.7354,0.8551,,high_risk,0.7354,0.8551,,high_risk,,,,125,,2.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
enzo_fern_ndez__arg,Enzo Fernandez,ARG,MID,0.9015,0.9524,,medium_risk,0.9015,0.9524,,medium_risk,,,,5,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
giuliano_simeone__arg,Giuliano Simeone,ARG,FWD,0.7893,0.8889,,medium_risk,0.7893,0.8889,,medium_risk,,,,4,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,0.7993,0.8475,,medium_risk,0.7993,0.8475,,medium_risk,,,,9,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
julio_soler__arg,Julio Soler,ARG,DEF,0.7502,0.8696,,high_risk,0.7502,0.8696,,high_risk,,,,16,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,0.8498,0.9059,,medium_risk,0.8498,0.9059,,medium_risk,,,,16,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
leandro_paredes__arg,Leandro Paredes,ARG,MID,0.7571,0.7938,,low_risk,0.7571,0.7938,,low_risk,,,,12,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
lionel_messi__arg,Lionel Messi,ARG,FWD,0.8949,0.9671,,medium_risk,0.8949,0.9671,,medium_risk,,,,56,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nahuel_molina__arg,Nahuel Molina,ARG,DEF,0.891,0.9355,,low_risk,0.891,0.9355,,low_risk,,,,7,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nico_gonzalez__arg,Nico Gonzalez,ARG,FWD,0.6713,0.8182,,high_risk,0.6713,0.8182,,high_risk,,,,16,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,0.7821,0.8904,,medium_risk,0.7821,0.8904,,medium_risk,,,,78,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,0.7459,0.7872,,low_risk,0.7459,0.7872,,low_risk,,,,14,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
rodrigo_de_paul__arg,Rodrigo de Paul,ARG,MID,0.9318,0.9545,,low_risk,0.9318,0.9545,,low_risk,,,,3,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
thiago_almada__arg,Thiago Almada,ARG,MID,0.6347,0.7059,,medium_risk,0.6347,0.7059,,medium_risk,,,,13,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ajdin_hrustic__aus,Ajdin Hrustic,AUS,MID,0.645,0.75,,high_risk,0.645,0.75,,high_risk,,,,46,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
awer_mabil__aus,Awer Mabil,AUS,FWD,0.7036,0.8182,,high_risk,0.7036,0.8182,,high_risk,,,,43,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
aziz_behich__aus,Aziz Behich,AUS,DEF,0.7021,0.8,,high_risk,0.7021,0.8,,high_risk,,,,46,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
connor_metcalfe__aus,Connor Metcalfe,AUS,MID,0.7886,0.9091,,high_risk,0.7886,0.9091,,high_risk,,,,21,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
jacob_italiano__aus,Jacob Italiano,AUS,DEF,0.7116,0.8,,medium_risk,0.7116,0.8,,medium_risk,,,,2,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
kye_rowles__aus,Kye Rowles,AUS,DEF,0.6668,0.7179,,medium_risk,0.6668,0.7179,,medium_risk,,,,8,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
martin_boyle__aus,Martin Boyle,AUS,FWD,0.7263,0.8333,,high_risk,0.7263,0.8333,,high_risk,,,,25,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
mathew_ryan__aus,Mathew Ryan,AUS,GK,0.763,0.8197,,medium_risk,0.763,0.8197,,medium_risk,,,,28,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
mohamed_toure__aus,Mohamed Toure,AUS,FWD,0.6883,0.875,,high_risk,0.6883,0.875,,high_risk,,,,21,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
paul_okon_engstler__aus,Paul Okon-Engstler,AUS,MID,0.873,0.97,,unknown,0.873,0.97,,unknown,,,,0,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
florian_grillitsch__aut,Florian Grillitsch,AUT,MID,0.7044,0.7727,,medium_risk,0.7044,0.7727,,medium_risk,,,,21,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
kevin_danso__aut,Kevin Danso,AUT,DEF,0.7136,0.7941,,medium_risk,0.7136,0.7941,,medium_risk,,,,27,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,0.8911,0.9618,,medium_risk,0.8911,0.9618,,medium_risk,,,,33,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
michael_gregoritsch__aut,Michael Gregoritsch,AUT,FWD,0.7668,0.8194,,medium_risk,0.7668,0.8194,,medium_risk,,,,14,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
amadou_onana__bel,Amadou Onana,BEL,MID,0.8044,0.9259,,high_risk,0.8044,0.9259,,high_risk,,,,17,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,0.8443,0.9449,,medium_risk,0.8443,0.9449,,medium_risk,,,,55,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
romelu_lukaku__bel,Romelu Lukaku,BEL,FWD,0.7965,0.8769,,medium_risk,0.7965,0.8769,,medium_risk,,,,45,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
thomas_meunier__bel,Thomas Meunier,BEL,DEF,0.7556,0.8764,,high_risk,0.7556,0.8764,,high_risk,,,,59,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
amar_dedi__bih,Amar Dedic,BIH,DEF,0.8054,0.8929,,medium_risk,0.8054,0.8929,,medium_risk,,,,10,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
amar_memi__bih,Amar Memic,BIH,MID,0.8296,0.8889,,medium_risk,0.8296,0.8889,,medium_risk,,,,0,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
amir_hadziahmetovic__bih,Amir Hadziahmetovic,BIH,MID,0.7679,0.8929,,high_risk,0.7679,0.8929,,high_risk,,,,23,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
armin_gigovic__bih,Armin Gigovic,BIH,MID,0.8312,0.875,,low_risk,0.8312,0.875,,low_risk,,,,0,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
benjamin_tahirovic__bih,Benjamin Tahirovic,BIH,MID,0.8591,0.9167,,medium_risk,0.8591,0.9167,,medium_risk,,,,3,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
dennis_hadzikadunic__bih,Dennis Hadzikadunic,BIH,DEF,0.6747,0.7714,,high_risk,0.6747,0.7714,,high_risk,,,,20,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
d_enis_burni__bih,Dzenis Burnic,BIH,MID,0.8428,0.9091,,medium_risk,0.8428,0.9091,,medium_risk,,,,1,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
edin_dzeko__bih,Edin Dzeko,BIH,FWD,0.9046,0.9533,,low_risk,0.9046,0.9533,,low_risk,,,,23,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
esmir_bajraktarevic__bih,Esmir Bajraktarevic,BIH,MID,0.8519,0.97,,medium_risk,0.8519,0.97,,medium_risk,,,,4,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ivan_unji__bih,Ivan Sunjic,BIH,MID,0.8426,0.9167,,medium_risk,0.8426,0.9167,,medium_risk,,,,2,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jovo_lukic__bih,Jovo Lukic,BIH,FWD,0.7493,0.97,,high_risk,0.7493,0.97,,high_risk,,,,39,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
kerim_alajbegovi__bih,Kerim Alajbegovic,BIH,MID,0.873,0.97,,unknown,0.873,0.97,,unknown,,,,0,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nikola_kati__bih,Nikola Katic,BIH,DEF,0.7847,0.8571,,medium_risk,0.7847,0.8571,,medium_risk,,,,3,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
tarik_muharemovic__bih,Tarik Muharemovic,BIH,DEF,0.7755,0.8235,,medium_risk,0.7755,0.8235,,medium_risk,,,,1,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
casemiro__bra,Casemiro,BRA,MID,0.7578,0.8812,,high_risk,0.7578,0.8812,,high_risk,,,,85,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
endrick__bra,Endrick,BRA,FWD,0.7077,0.8125,,high_risk,0.7077,0.8125,,high_risk,,,,10,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
gabriel_martinelli__bra,Gabriel Martinelli,BRA,FWD,0.6448,0.7333,,medium_risk,0.6448,0.7333,,medium_risk,,,,16,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
lucas_paqueta__bra,Lucas Paqueta,BRA,MID,0.7869,0.8615,,medium_risk,0.7869,0.8615,,medium_risk,,,,20,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
luiz_henrique__bra,Luiz Henrique,BRA,FWD,0.8148,0.9091,,medium_risk,0.8148,0.9091,,medium_risk,,,,4,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
marquinhos__bra,Marquinhos,BRA,DEF,0.7639,0.8125,,medium_risk,0.7639,0.8125,,medium_risk,,,,24,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
matheus_cunha__bra,Matheus Cunha,BRA,FWD,0.6946,0.8077,,high_risk,0.6946,0.8077,,high_risk,,,,39,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
rayan__bra,Rayan,BRA,FWD,0.6933,0.8,,high_risk,0.6933,0.8,,high_risk,,,,4,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ali_ahmed__can,Ali Ahmed,CAN,MID,0.717,0.7857,,medium_risk,0.717,0.7857,,medium_risk,,,,8,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
alistair_johnston__can,Alistair Johnston,CAN,DEF,0.8759,0.97,,medium_risk,0.8759,0.97,,medium_risk,,,,19,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
isma_l_kon__can,Ismael Kone,CAN,MID,0.7892,0.8649,,medium_risk,0.7892,0.8649,,medium_risk,,,,11,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jonathan_osorio__can,Jonathan Osorio,CAN,MID,0.7211,0.8077,,medium_risk,0.7211,0.8077,,medium_risk,,,,34,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
richie_laryea__can,Richie Laryea,CAN,DEF,0.8983,0.9286,,low_risk,0.8983,0.9286,,low_risk,,,,4,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
tajon_buchanan__can,Tajon Buchanan,CAN,MID,0.9066,0.97,,medium_risk,0.9066,0.97,,medium_risk,,,,10,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
amad_diallo__civ,Amad Diallo,CIV,FWD,0.7082,0.8235,,high_risk,0.7082,0.8235,,high_risk,,,,47,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
evann_guessand__civ,Evann Guessand,CIV,FWD,0.7944,0.8333,,low_risk,0.7944,0.8333,,low_risk,,,,0,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ghislain_konan__civ,Ghislain Konan,CIV,DEF,0.755,0.871,,high_risk,0.755,0.871,,high_risk,,,,39,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
ibrahim_sangare__civ,Ibrahim Sangare,CIV,MID,0.7036,0.8182,,high_risk,0.7036,0.8182,,high_risk,,,,67,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
jean_michael_seri__civ,Jean Michael Seri,CIV,MID,0.6665,0.775,,high_risk,0.6665,0.775,,high_risk,,,,67,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
oumar_diakite__civ,Oumar Diakite,CIV,FWD,0.6966,0.8077,,high_risk,0.6966,0.8077,,high_risk,,,,18,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
seko_fofana__civ,Seko Fofana,CIV,MID,0.7016,0.8158,,high_risk,0.7016,0.8158,,high_risk,,,,59,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
wilfried_stephane_singo__civ,Wilfried Stephane Singo,CIV,DEF,0.7381,0.8462,,high_risk,0.7381,0.8462,,high_risk,,,,23,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
arthur_masuaku__cod,Arthur Masuaku,COD,DEF,0.6914,0.8039,,high_risk,0.6914,0.8039,,high_risk,,,,38,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
axel_tuanzebe__cod,Axel Tuanzebe,COD,DEF,0.6757,0.7857,,high_risk,0.6757,0.7857,,high_risk,,,,15,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
brian_cipenga__cod,Brian Cipenga,COD,MID,0.6555,0.7,,medium_risk,0.6555,0.7,,medium_risk,,,,0,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
c_dric_bakambu__cod,Cedric Bakambu,COD,FWD,0.7818,0.9091,,high_risk,0.7818,0.9091,,high_risk,,,,54,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
charles_pickel__cod,Charles Pickel,COD,MID,0.7895,0.8438,,medium_risk,0.7895,0.8438,,medium_risk,,,,5,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
edo_kayembe__cod,Edo Kayembe,COD,MID,0.688,0.8,,high_risk,0.688,0.8,,high_risk,,,,32,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
fiston_mayele__cod,Fiston Mayele,COD,FWD,0.6741,0.7838,,high_risk,0.6741,0.7838,,high_risk,,,,28,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
gael_kakuta__cod,Gaël Kakuta,COD,MID,0.6395,0.7436,,high_risk,0.6395,0.7436,,high_risk,,,,59,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
meschak_elia__cod,Meschack Elia,COD,MID,0.8113,0.9434,,high_risk,0.8113,0.9434,,high_risk,,,,51,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
nathanael_mbuku__cod,Nathanael Mbuku,COD,MID,0.8471,0.9412,,medium_risk,0.8471,0.9412,,medium_risk,,,,6,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
ngal_ayel_mukau__cod,Ngal'ayel Mukau,COD,MID,0.724,0.8333,,high_risk,0.724,0.8333,,high_risk,,,,8,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
yoane_wissa__cod,Yoane Wissa,COD,FWD,0.8342,0.97,,high_risk,0.8342,0.97,,high_risk,,,,40,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
daniel_mu_oz__col,Daniel Muñoz,COL,DEF,0.7378,0.8,,medium_risk,0.7378,0.8,,medium_risk,,,,14,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
david_ospina__col,David Ospina,COL,GK,0.7171,0.7849,,medium_risk,0.7171,0.7849,,medium_risk,,,,55,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,0.7666,0.8125,,medium_risk,0.7666,0.8125,,medium_risk,,,,16,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jefferson_lerma__col,Jefferson Lerma,COL,MID,0.8225,0.9231,,medium_risk,0.8225,0.9231,,medium_risk,,,,29,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jhon_arias__col,Jhon Arias,COL,MID,0.8946,0.97,,medium_risk,0.8946,0.97,,medium_risk,,,,8,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jhon_c_rdoba__col,Jhon Cordoba,COL,FWD,0.6658,0.7742,,high_risk,0.6658,0.7742,,high_risk,,,,38,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jorge_carrascal__col,Jorge Carrascal,COL,MID,0.5975,0.6667,,medium_risk,0.5975,0.6667,,medium_risk,,,,12,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
richard_r_os__col,Richard Rios,COL,MID,0.8685,0.9091,,low_risk,0.8685,0.9091,,low_risk,,,,2,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
h_lio_varela__cpv,Helio Varela,CPV,FWD,0.7167,0.8333,,high_risk,0.7167,0.8333,,high_risk,,,,11,,3.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
jovane_cabral__cpv,Jovane Cabral,CPV,FWD,0.7525,0.875,,high_risk,0.7525,0.875,,high_risk,,,,48,,3.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
steven_moreira__cpv,Steven Moreira,CPV,DEF,0.8138,0.9444,,high_risk,0.8138,0.9444,,high_risk,,,,13,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
stopira__cpv,Stopira,CPV,DEF,0.654,0.7568,,high_risk,0.654,0.7568,,high_risk,,,,48,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
telmo_arcanjo__cpv,Telmo Arcanjo,CPV,MID,0.7304,0.8286,,medium_risk,0.7304,0.8286,,medium_risk,,,,18,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
vozinha__cpv,Vozinha,CPV,GK,0.8342,0.875,,low_risk,0.8342,0.875,,low_risk,,,,12,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
willy_semedo__cpv,Willy Semedo,CPV,FWD,0.771,0.8966,,high_risk,0.771,0.8966,,high_risk,,,,23,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
igor_matanovic__cro,Igor Matanovic,CRO,FWD,0.6651,0.7778,,high_risk,0.6651,0.7778,,high_risk,,,,8,,4.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
josip_stani_i__cro,Josip Stanisic,CRO,DEF,0.6785,0.7381,,medium_risk,0.6785,0.7381,,medium_risk,,,,11,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
nikola_vla_i__cro,Nikola Vlasic,CRO,MID,0.732,0.8116,,medium_risk,0.732,0.8116,,medium_risk,,,,26,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
brandley_kuwas__cuw,Brandley Kuwas,CUW,FWD,0.6808,0.7917,,high_risk,0.6808,0.7917,,high_risk,,,,25,,0.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jeremy_antonisse__cuw,Jeremy Antonisse,CUW,FWD,0.7223,0.9091,,high_risk,0.7223,0.9091,,high_risk,,,,23,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
juninho_bacuna__cuw,Juninho Bacuna,CUW,MID,0.9144,0.97,,medium_risk,0.9144,0.97,,medium_risk,,,,5,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
jurgen_locadia__cuw,Jürgen Locadia,CUW,FWD,0.7207,0.8889,,high_risk,0.7207,0.8889,,high_risk,,,,16,,2.0,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
leandro_bacuna__cuw,Leandro Bacuna,CUW,MID,0.9141,0.97,,medium_risk,0.9141,0.97,,medium_risk,,,,10,,2.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
adam_karabec__cze,Adam Karabec,CZE,MID,0.8096,0.9302,,high_risk,0.8096,0.9302,,high_risk,,,,26,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
jan_kliment__cze,Jan Kliment,CZE,FWD,0.771,0.8966,,high_risk,0.771,0.8966,,high_risk,,,,65,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
mojmir_chytil__cze,Mojmir Chytil,CZE,FWD,0.8204,0.9524,,high_risk,0.8204,0.9524,,high_risk,,,,15,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
patrik_schick__cze,Patrik Schick,CZE,FWD,0.7906,0.9194,,high_risk,0.7906,0.9194,,high_risk,,,,49,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
vladimir_darida__cze,Vladimir Darida,CZE,MID,0.8106,0.9425,,high_risk,0.8106,0.9425,,high_risk,,,,65,,,,,,high start signal conflicts with high availability risk,review injury/absence context before optimizer rerun,
alan_minda__ecu,Alan Minda,ECU,MID,0.6476,0.7143,,medium_risk,0.6476,0.7143,,medium_risk,,,,4,,1.0,,,,canonical split is materially higher than raw national start-security row,manual review before using as secure starter,
