strategy;formation;status;old_price_m;new_price_m;top_forwards;in;out
group_stage;3-5-2;rebuilt_top_forwards_first;49.0;47.5;Erling Haaland, Harry Kane;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Casemiro, Jonathan David, Kerem Akturkoglu, Lionel Messi, Marquinhos, Nuno Mendes
group_stage;4-3-3;rebuilt_top_forwards_first;49.5;49.5;Erling Haaland, Harry Kane, Jonathan David;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Cesar Montes, Cristiano Ronaldo, Marquinhos, Remo Freuler, Tajon Buchanan, Vinicius Junior
group_stage;4-4-2;rebuilt_top_forwards_first;49.5;48.5;Erling Haaland, Harry Kane;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Marquinhos, Raul Jimenez, Remo Freuler, Vinicius Junior
group_stage;4-5-1;rebuilt_top_forwards_first;49.5;42.5;Erling Haaland;Antonio Nusa, Erling Haaland, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Casemiro, Cesar Montes, Marquinhos, Vinicius Junior
group_stage;5-3-2;rebuilt_top_forwards_first;48.5;50.0;Erling Haaland, Harry Kane;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Casemiro, Cesar Montes, Kerem Akturkoglu, Nicolas Tagliafico, Raul Jimenez, Vinicius Junior
group_stage;5-4-1;rebuilt_top_forwards_first;49.0;44.0;Erling Haaland;Antonio Nusa, Erling Haaland, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Nicolas Tagliafico, Remo Freuler, Vinicius Junior
practical_start;3-4-3;rebuilt_top_forwards_first;50.0;48.5;Erling Haaland, Harry Kane, Jonathan David;Antonio Nusa, Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Cristiano Ronaldo, Joshua Kimmich, Nuno Mendes, Raul Jimenez
practical_start;3-5-2;rebuilt_top_forwards_first;50.0;47.5;Erling Haaland, Harry Kane;Erling Haaland, Harry Kane, Nathaniel Brown, Philipp Lienhart, Remo Freuler, Roberto Alvarado;Bruno Fernandes, Cristiano Ronaldo, Jonathan David, Joshua Kimmich, Nuno Mendes, Ruben Dias
practical_start;4-3-3;rebuilt_top_forwards_first;50.0;49.5;Erling Haaland, Harry Kane, Jonathan David;Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Raul Jimenez, Ruben Dias, Tajon Buchanan, Vinicius Junior
practical_start;4-4-2;rebuilt_top_forwards_first;49.5;48.5;Erling Haaland, Harry Kane;Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Cody Gakpo, Joshua Kimmich, Raul Jimenez, Ruben Dias
practical_start;4-5-1;rebuilt_top_forwards_first;47.0;42.5;Erling Haaland;Erling Haaland, Nathaniel Brown, Philipp Lienhart, Remo Freuler, Roberto Alvarado;Bruno Fernandes, Joshua Kimmich, Nico Schlotterbeck, Raul Jimenez, Ruben Dias
practical_start;5-3-2;rebuilt_top_forwards_first;49.5;50.0;Erling Haaland, Harry Kane;Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Cody Gakpo, Raul Jimenez, Ruben Dias, Tajon Buchanan
practical_start;5-4-1;rebuilt_top_forwards_first;47.0;44.0;Erling Haaland;Erling Haaland, John Yeboah, Marquinhos, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado;Bruno Fernandes, Cesar Montes, Joshua Kimmich, Nico Schlotterbeck, Raul Jimenez, Ruben Dias
long_run;3-4-3;rebuilt_top_forwards_first;50.0;48.5;Erling Haaland, Harry Kane, Jonathan David;Erling Haaland, Harry Kane, John Yeboah, Jonathan David, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Silvan Widmer, Tajon Buchanan;Casemiro, Cristiano Ronaldo, Declan Rice, Nathan Ngoy, Nico Williams, Nicolas Tagliafico, Ruben Dias, Vinicius Junior, Youri Tielemans
long_run;3-5-2;rebuilt_top_forwards_first;50.0;47.5;Erling Haaland, Harry Kane;Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Remo Freuler, Roberto Alvarado, Silvan Widmer, Tajon Buchanan;Casemiro, Cristiano Ronaldo, Declan Rice, Joshua Kimmich, Nico Williams, Nicolas Tagliafico, Nuno Mendes, Ruben Dias, Youri Tielemans
long_run;4-3-3;rebuilt_top_forwards_first;47.5;49.5;Erling Haaland, Harry Kane, Jonathan David;Antonio Nusa, Erling Haaland, Harry Kane, John Yeboah, Nuno Mendes, Philipp Lienhart, Roberto Alvarado, Silvan Widmer;Arthur Theate, Casemiro, Declan Rice, Nico Williams, Nicolas Tagliafico, Ruben Dias, Vinicius Junior, Youri Tielemans
long_run;4-4-2;rebuilt_top_forwards_first;47.5;48.5;Erling Haaland, Harry Kane;Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Silvan Widmer, Tajon Buchanan;Casemiro, Declan Rice, Jonathan David, Marquinhos, Nico Williams, Nicolas Tagliafico, Ruben Dias, Youri Tielemans
long_run;4-5-1;rebuilt_top_forwards_first;50.0;42.5;Erling Haaland;Antonio Nusa, Erling Haaland, John Yeboah, Nathaniel Brown, Philipp Lienhart, Remo Freuler, Roberto Alvarado, Silvan Widmer, Tajon Buchanan;Bernardo Silva, Casemiro, Declan Rice, Joshua Kimmich, Marquinhos, Nico Williams, Nicolas Tagliafico, Ruben Dias, Youri Tielemans
long_run;5-3-2;rebuilt_top_forwards_first;50.0;50.0;Erling Haaland, Harry Kane;Antonio Nusa, Erling Haaland, Harry Kane, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Silvan Widmer;Arthur Theate, Casemiro, Declan Rice, Nico Williams, Nicolas Tagliafico, Ruben Dias, Vinicius Junior, Youri Tielemans
long_run;5-4-1;rebuilt_top_forwards_first;49.0;44.0;Erling Haaland;Antonio Nusa, Erling Haaland, John Yeboah, Nathaniel Brown, Philipp Lienhart, Roberto Alvarado, Silvan Widmer, Tajon Buchanan;Casemiro, Declan Rice, Jonathan Tah, Joshua Kimmich, Nico Williams, Nicolas Tagliafico, Ruben Dias, Youri Tielemans
